"ReportCodeID","ReportCode"
"1","Custom"
"2","LOR001"
"3","LOR002"
"4","LOR003"
"5","LOR004"
"6","LOR005"
"7","LOR006"
"8","LOR007"
"9","LOR008"
"10","LOR009"
"11","LOR010"
"12","LRZ004"
"13","LRZ005"
"14","LRZ007"
"15","LRZ008"
"16","LRZ009"
"17","LRZ010"
"18","LRZ013"
"19","LRZ014"
"20","LRZ018"
"21","LRZ019"
"22","LRZ020"
"23","LRZ050"
"24","LRZ052"
"25","LRZ06a"
"26","LRZ06b"
"27","LRZ06e"
"28","MN022"
"29","MN050"
"30","MN051"
"31","MN052"
"32","MN053"
"33","MN054"
"34","MN058"
"35","MN059"
"36","MN060"
"37","MN066"
"38","MN070"
"39","MN071"
"40","MN072"
"41","NBA004"
"42","NBA005a"
"43","NBA005b"
"44","NBA005e"
"45","NBA005f"
"46","NBA006"
"47","NBA007"
"48","NBA011"
"49","NBA013"
"50","NBA016"
"51","SPCR"
"52","WB001"
"53","WB004"
"54","WB005"
"55","WB006"
"56","WB007"
"57","WB009"
"58","WB010"
"59","WB011"
"60","WB012"
"61","WB013"
"62","WB014"
"63","WB015"
